,wikidataUrl,titleLabel,materialLabel,genreLabel,collectionLabel,depicts,movement,subjectLabel,creatorBirthPlaceLabel,creatorCountry,creatorLabel,year,image,startTime,artworkLabel,locLabel,id,width,height
300,http://www.wikidata.org/entity/Q29840438,L'Éducation d'Achille par le centaure Chiron,oil paint; canvas,nude,Department of Paintings of the Louvre,Chiron; bow,neoclassicism,,Paris,France,Jean-Baptiste Regnault,1782,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Regnault%20001.jpg,{'nan'},The Education of Achilles by Chiron,Louvre Museum,Q29840438,215.0,261.0
301,http://www.wikidata.org/entity/Q29840442,,oil paint; canvas,religious art,Department of Paintings of the Louvre,flood; woman; family; baby,neoclassicism,Genesis flood narrative,Paris,France,Jean-Baptiste Regnault,1789,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Regnault%20-%20The%20Flood%2C%201789.jpg,{'nan'},The Flood,Louvre Museum,Q29840442,71.0,89.0
302,http://www.wikidata.org/entity/Q29840445,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Mary Magdalene; John the Apostle; Nicodemus,neoclassicism,Descent from the Cross,Paris,France,Jean-Baptiste Regnault,1789,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Regnault%20-%20The%20Descent%20from%20the%20Cross%20-%20WGA19036.jpg,{'nan'},The Descent from the Cross,Louvre Museum,Q29840445,233.0,425.0
303,http://www.wikidata.org/entity/Q29842255,,oil paint; canvas,religious art,Department of Paintings of the Louvre,angel; Assumption of Mary; Virgin Mary,classicism,Assumption of Mary,Les Andelys,France,Nicolas Poussin,1649,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Poussin%20-%20The%20Assumption%20of%20the%20Virgin%20-%20WGA18331.jpg,{'nan'},The Assumption of the Virgin,Louvre Museum,Q29842255,40.0,57.0
304,http://www.wikidata.org/entity/Q29842274,,oil paint; canvas,mythological painting,Department of Paintings of the Louvre,hygiene; column; container; goldsmithing; Mercury,Rococo,Mercury and Herse,Paris,France,Jean-Baptiste Marie Pierre,1763,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%2C%20Jean-Baptiste%20Marie%20-%20Mercury%2C%20Herse%20and%20Aglauros%20-%201763.jpg,{'nan'},"Mercury, Herse and Aglauros",Louvre Museum,Q29842274,320.0,320.0
305,http://www.wikidata.org/entity/Q29842505,,oil paint; canvas,self-portrait,Department of Paintings of the Louvre,Nicolas-André Monsiau; man; painter,neoclassicism,Nicolas-André Monsiau,Paris,France,Nicolas-André Monsiau,1827,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas-Andr%C3%A9%20Monsiau.jpg,{'nan'},Q29842505,Louvre Museum,Q29842505,49.0,60.0
306,http://www.wikidata.org/entity/Q29846742,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Noli me tangere,Baroque,Noli me tangere,Paris,France,Eustache Le Sueur,1651,http://commons.wikimedia.org/wiki/Special:FilePath/Eustache%20Le%20Sueur%20-%20Apparition%20du%20Christ%20%C3%A0%20Madeleine.jpg,{'nan'},Apparition of Christ to Mary Magdalene,Louvre Museum,Q29846742,129.0,145.0
307,http://www.wikidata.org/entity/Q29848030,,oil paint; canvas,religious art,Department of Paintings of the Louvre,angel; cloud; Child Jesus; musical instrument,classicism,Adoration of the shepherds,Paris,France,Charles Le Brun,1689,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Brun%2C%20Charles%20-%20Adoration%20of%20the%20Shepherds%20-%201689.jpg,{'nan'},Q29848030,Louvre Museum,Q29848030,215.0,151.0
308,http://www.wikidata.org/entity/Q29848244,,oil paint; canvas,religious art,Department of Paintings of the Louvre,meals; tool; container; fruit; Holy Family; prayer; bread,classicism,Holy Family,Paris,France,Charles Le Brun,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Brun%20Sainte%20famille%20ou%20Le%20B%C3%A9n%C3%A9dicit%C3%A9.jpg,{'nan'},Holy family,Louvre Museum,Q29848244,89.0,138.0
309,http://www.wikidata.org/entity/Q29848493,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Mary Magdalene; religious conversion,classicism,Penitent Magdalene,Paris,France,Charles Le Brun,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Le%20Brun%20-%20The%20Repentant%20Magdalen%20-%20WGA12540.jpg,{'nan'},The Repentant Magdalen,Louvre Museum,Q29848493,171.0,252.0
310,http://www.wikidata.org/entity/Q29850069,,oil paint; canvas,religious art,Department of Paintings of the Louvre,forehead; kiss,classicism,Madonna and Child,Paris,France,Laurent de La Hyre,1642,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Vierge%20%C3%A0%20l%27Enfant%2C%20Laurent%20de%20la%20Hyre%2C%201642%20%282%29.jpg,{'nan'},The Virgin and Child,Louvre Museum,Q29850069,92.0,114.0
311,http://www.wikidata.org/entity/Q29855502,,oil paint; canvas,portrait,Department of Paintings of the Louvre,horse; man; First French Empire; equestrianism; volcano,neoclassicism; Pre-romanticism,,Paris,France,Antoine-Jean Gros,1812,http://commons.wikimedia.org/wiki/Special:FilePath/Equestrian%20portrait%20of%20Joachim%20Murat.jpg,{'nan'},Q29855502,Louvre Museum,Q29855502,280.0,343.0
312,http://www.wikidata.org/entity/Q29855510,,oil paint; canvas,portrait,Department of Paintings of the Louvre,general officer; uniform; man; sabre; conflagration; cavalry; letter,neoclassicism; Pre-romanticism,,Paris,France,Antoine-Jean Gros,1812,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9n%C3%A9ral%20FRANCOIS%20FOURNIER%20SARLOVEZE.jpg,{'nan'},Q29855510,Louvre Museum,Q29855510,174.0,252.0
313,http://www.wikidata.org/entity/Q29857813,,wood; oil paint,religious art,Department of Paintings of the Louvre,Jesus,Romanticism,crucifixion of Jesus,Saint-Maurice,France,Eugène Delacroix,1848,http://commons.wikimedia.org/wiki/Special:FilePath/Delacroix%20-%20LE%20CHRIST%20EN%20CROIX%2C%201848.jpg,{'nan'},Q29857813,Louvre Museum,Q29857813,17.0,24.5
314,http://www.wikidata.org/entity/Q29863002,,wood; oil paint,religious art,Department of Paintings of the Louvre,nudity; judge,Romanticism,Susanna and the Elders,El Limón,Dominican Republic,Théodore Chassériau,1856,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9odore%20Chass%C3%A9riau%20-%20Suzanne%20et%20les%20vieillards%20%281856%29.jpg,{'nan'},Q29863002,Louvre Museum,Q29863002,31.5,40.0
